type,breed,color,sex,size,impound_number,kennel_number,id,intake_date,outcome_date,days_in_shelter,intake_type,intake_subtype,outcome_type,outcome_subtype,intake_condition,outcome_condition,intake_jurisdiction,intake_total,date_of_birth,name,zip_code,:@computed_region_dig5_f3vy,outcome_jurisdiction,ano
Dog,Spanish Mastiff,Bl Brindle,Neutered,LARGE,K14-008980,DQ112,A273607,2014-05-24,2014-06-12,19,Owner Surrender,OVER THE COUNTER,Euthanize,AGGRESSIVE,TREATABLE/MANAGEABLE,TREATABLE/MANAGEABLE,COUNTY,1,2010-07-07T00:00:00.000,MAX,95425,23501,COUNTY,2014
Dog,Pit Bull,Gray/White,Neutered,MED,K14-011750,DS86,A311841,2014-11-18,2015-01-04,47,Stray,FIELD,Euthanize,BEH SEVERE,TREATABLE/MANAGEABLE,TREATABLE/MANAGEABLE,COUNTY,1,2012-12-20T00:00:00.000,SWISH,95476,31040,COUNTY,2014
Dog,Pit Bull,Gray/White,Neutered,MED,K17-024311,DS76,A313929,2017-07-07,2017-07-08,1,Stray,FIELD,Return To Owner,OVER THE COUNTER_WALKIN,TREATABLE/REHAB,HEALTHY,SANTA ROSA,1,2011-11-18T00:00:00.000,RAIDER,95407,26079,SANTA ROSA,2017
Dog,Pit Bull/Mix,Black/White,Male,MED,K16-018579,DQ109,A321718,2016-04-22,2016-05-11,19,Confiscate,FLD_EVICT,Euthanize,AGGRESSIVE,UNTREATABLE,UNTREATABLE,SANTA ROSA,1,2014-10-15T00:00:00.000,JUDAH,95401,26075,SANTA ROSA,2016
Cat,Domestic Mh,Gray,Spayed,KITTN,K18-028468,LOBBY,A373125,2018-05-30,2018-06-07,8,Stray,FIELD,Adoption,SCAS WEB,HEALTHY,HEALTHY,COUNTY,1,2018-03-21T00:00:00.000,*ALICE,95425,23501,*CLOVERDALE,2018
Cat,Domestic Sh,Brn Tabby,Spayed,KITTN,K19-034769,LOBBY,A394255,2019-12-06,2019-12-17,11,Stray,OVER THE COUNTER,Adoption,REFERRAL-O,HEALTHY,HEALTHY,COUNTY,1,2019-10-06T00:00:00.000,*ELLA,95404,26077,COUNTY,2019
Dog,Catahoula/Mix,Brn Merle/Black,Spayed,LARGE,K23-043950,DS90,A360813,2023-02-28,2023-03-02,2,Stray,OVER THE COUNTER_EMERGE,Return To Owner,OVER THE COUNTER_CALL,UNKNOWN,PENDING,COUNTY,1,2009-09-13T00:00:00.000,CAT,94951,1844,COUNTY,2023
Cat,Domestic Sh,Black/White,Unknown,SMALL,K16-020572,CS06,A341853,2016-09-01,2016-09-06,5,Stray,COMM CAT,Transfer,FORGOTTEN,HEALTHY,TREATABLE/MANAGEABLE,COUNTY,1,,,95403,26076,SANTA ROSA,2016
Dog,Aust Shepherd/Akita,Tricolor,Spayed,LARGE,K14-011398,DS81,A312978,2014-10-21,2014-11-02,12,Owner Surrender,OVER THE COUNTER,Euthanize,ILL SEVERE,UNTREATABLE,UNTREATABLE,COUNTY,1,2001-10-21T00:00:00.000,FLYINGSAUCER,,,,2014
Dog,Great Pyrenees,White,Male,LARGE,K14-010079,DS69,A309625,2014-08-02,2014-08-19,17,Stray,FIELD,Transfer,SIERRA PAC,HEALTHY,TREATABLE/REHAB,COUNTY,1,2013-08-02T00:00:00.000,,95746,11457,OUT OF COUNTY,2014
